depth,hook_load_avg,wob_avg,rpm_surface_avg,torqueabs_avg,spp_avg,rop_inst,well_bore_code
0.164,48.02,-999.25,0,-6,295.24,-3278.3794,NO 15/9-F-1 C
0.164,48.48,-999.25,0,-8,298.82,-3278.3794,NO 15/9-F-1 C
0.164,48.4,-999.25,0,-8,297.23,-3278.3794,NO 15/9-F-1 C
0.164,48.4,-999.25,0,-8,297.23,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-6,297.23,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-11,300.01,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-11,300.01,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-11,298.42,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-6,298.02,-3278.3794,NO 15/9-F-1 C
0.164,48.16,-999.25,0,-6,298.02,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,298.02,-3278.3794,NO 15/9-F-1 C
0.164,48.38,-999.25,0,-8,297.23,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,300.81,-3278.3794,NO 15/9-F-1 C
0.164,48.25,-999.25,0,-8,300.81,-3278.3794,NO 15/9-F-1 C
0.164,48.21,-999.25,0,-8,307.97,-3278.3794,NO 15/9-F-1 C
0.164,48.21,-999.25,0,-8,307.97,-3278.3794,NO 15/9-F-1 C
0.164,48.21,-999.25,0,-8,307.97,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-9,315.52,-3278.3794,NO 15/9-F-1 C
0.164,47.85,-999.25,0,-9,327.06,-3278.3794,NO 15/9-F-1 C
0.164,47.85,-999.25,0,-9,327.06,-3278.3794,NO 15/9-F-1 C
0.164,47.85,-999.25,0,-8,327.06,-3278.3794,NO 15/9-F-1 C
0.164,48.36,-999.25,0,-8,332.23,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-9,334.62,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-9,334.62,-3278.3794,NO 15/9-F-1 C
0.164,48.51,-999.25,0,-9,334.62,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-9,334.22,-3278.3794,NO 15/9-F-1 C
0.164,48.12,-999.25,0,-9,334.22,-3278.3794,NO 15/9-F-1 C
0.164,48.46,-999.25,0,-6,338.99,-3278.3794,NO 15/9-F-1 C
0.164,48.21,-999.25,0,-6,339.39,-3278.3794,NO 15/9-F-1 C
0.164,48.21,-999.25,0,-6,339.39,-3278.3794,NO 15/9-F-1 C
0.164,47.99,-999.25,0,-8,340.19,-3278.3794,NO 15/9-F-1 C
0.164,47.99,-999.25,0,-6,340.19,-3278.3794,NO 15/9-F-1 C
0.164,47.99,-999.25,0,-6,340.19,-3278.3794,NO 15/9-F-1 C
0.164,48.8,-999.25,0,-8,335.41,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-8,327.86,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-8,327.86,-3278.3794,NO 15/9-F-1 C
0.164,48.27,-999.25,0,-8,324.67,-3278.3794,NO 15/9-F-1 C
